Question_Number,Category,Question,Answer
377,Strategy,How many times did Livermore trade per year?,Only a few good setups a year make most profits
378,Strategy,What if the market is flat?,No clear direction? Stay out of the market
379,Strategy,Why did he avoid small cheap stocks?,Theyre riskier and dont move predictably
380,Strategy,Whats Livermores 10 rule?,Never risk more than 10 of your trading capital
381,Strategy,Why put half your profits in the bank?,Secure some profit so you dont give it all back
382,Strategy,Why concentrate on one idea?,Focus brings better trades than spreading risk thin
383,Strategy,Why not get greedy after one win?,Greed leads to mistakes Stick to your rules
384,Strategy,Whats a safe stoploss?,Place it below support so you exit early if wrong
385,Strategy,Return after losseswhat did he do?,Stop and reset Dont trade emotionally
386,Strategy,Why say never trade without a reason?,Base trades on setups not gut feelings
387,Strategy,Whats the meaning of markets are never wrongopinions are?,If price goes against you your view may be wrong
388,Strategy,Why did he avoid following the crowd?,The crowd is often wrong Trust your analysis
389,Strategy,How did he know when trends were ending?,Failed highslows or weak volume hint trend is ending
390,Strategy,How did he maintain discipline over time?,Use rules journals and review habits to stay focused
391,Strategy,Why did he reflect on mistakes?,So he could learn from them and improve
392,Strategy,What is confirmation bias in trading?,Its thinking youre right even when the chart says otherwise
393,Strategy,How did he fight that bias?,Exit fast if price disagrees with your setup
394,Strategy,My trade moved against mewhat then?,Cut the loss Livermore exited fast to protect capital
395,Strategy,After entering price moves upwhat now?,Hold and trail stop as long as trend continues
396,Strategy,Price dips a bitshould I worry?,Noits often just a pullback not reversal
397,Strategy,I see a breakout but low volumeis that okay?,Be careful Breakouts need strong volume to work
398,Strategy,Why does Livermore say nothing new ever happens?,Patterns repeat Learn the behavior of markets
399,Strategy,Can young people follow his rules too?,Yes The rules are simple even for beginners
400,Strategy,Whats the final mindset tip from Livermore?,The real enemy in trading is your own emotions
401,Strategy,What does The trend is your friend mean?,It means if prices are going up buy if theyre going down sell Follow the trend
402,Strategy,What is a trend in stocks?,A trend is when stock prices generally move in one directionup or down
403,Strategy,Why shouldnt I trade every day?,Most days offer no strong setup Trading less means fewer mistakes
404,Strategy,How do I spot a good trading setup?,Look for a price breaking key levels with strong volume and trend confirmation
405,Strategy,Whats a pivot point?,A pivot point is a key level where price has previously reversed
406,Strategy,What is a normal reaction?,Its a small dip after a breakout before continuing the trend
407,Strategy,How does Livermore use volume to confirm trades?,Strong volume on breakouts and low volume on pullbacks confirms direction
408,Strategy,What does cut your losses quickly mean?,Exit fast if a trade goes against you Dont wait and hope
409,Strategy,What does let your profits run mean?,Stay in winning trades longer Dont exit too early
410,Strategy,What is pyramiding?,Add to trades only when they move in your favor
411,Strategy,Why should you not average into losing trades?,Adding to losers increases riskcut them instead
412,Strategy,Why trade only leading stocks?,Leaders move first and have stronger trends
413,Strategy,Why keep some cash aside a reserve?,Cash gives flexibility to wait and react with confidence
414,Strategy,Why not rely on tips or rumors?,Tips are unreliable Trust price action instead
415,Strategy,What does guard against self mean?,Control your emotionsfear and greed hurt your trades
416,Strategy,What is good position sizing?,Only risk a small portion of your money per trade
417,Strategy,What does risking 10 per trade mean?,Dont lose more than 10 of capital on one trade
418,Strategy,What is a probe trade?,Start with a small test trade to check the setup
419,Strategy,Why did Livermore keep a trading diary?,To analyze what went wrong or right for future learning
420,Strategy,What does emotional control look like?,It means sticking to your plan and not reacting emotionally
421,Strategy,How did he know when to enter a long trade?,After confirmation of breakout in trend direction
422,Strategy,How did Livermore exit long trades?,Exit if price breaks support or loses momentum
423,Strategy,How did he enter a short trade?,Short on a confirmed downtrend with high volume
424,Strategy,What would make him close a short trade?,Exit if price breaks above key level or loses momentum
425,Strategy,What is the pattern impulsereactionimpulse?,Its a strong move a dip then another strong move
426,Strategy,Why did he need breakout volume?,Heavy volume shows real trader interest in a move
427,Strategy,How many times did Livermore trade per year?,Only a few good setups a year make most profits
428,Strategy,What if the market is flat?,No clear direction? Stay out of the market
429,Strategy,Why did he avoid small cheap stocks?,Theyre riskier and dont move predictably
430,Strategy,Whats Livermores 10 rule?,Never risk more than 10 of your trading capital
431,Strategy,Why put half your profits in the bank?,Secure some profit so you dont give it all back
432,Strategy,Why concentrate on one idea?,Focus brings better trades than spreading risk thin
433,Strategy,Why not get greedy after one win?,Greed leads to mistakes Stick to your rules
434,Strategy,Whats a safe stoploss?,Place it below support so you exit early if wrong
435,Strategy,Return after losseswhat did he do?,Stop and reset Dont trade emotionally
436,Strategy,Why say never trade without a reason?,Base trades on setups not gut feelings
437,Strategy,Whats the meaning of markets are never wrongopinions are?,If price goes against you your view may be wrong
438,Strategy,Why did he avoid following the crowd?,The crowd is often wrong Trust your analysis
439,Strategy,How did he know when trends were ending?,Failed highslows or weak volume hint trend is ending
440,Strategy,How did he maintain discipline over time?,Use rules journals and review habits to stay focused
441,Strategy,Why did he reflect on mistakes?,So he could learn from them and improve
442,Strategy,What is confirmation bias in trading?,Its thinking youre right even when the chart says otherwise
443,Strategy,How did he fight that bias?,Exit fast if price disagrees with your setup
